Enfrentamiento_id,Torneo_id,Ronda,Nombre_Enfrentamiento,Numero_Replica,Freestyler_Ganador,Freestyler_Perdedor,Link
VS-2005-01,RB-2005,Cuartos, Ehler Danloss vs Tito Yang,0,F-01,F-07,https://www.youtube.com/watch?v=np4P7EXbhcM
VS-2005-02,RB-2005,Cuartos,AL Stylo vs El Niño,0,F-04,F-03,https://www.youtube.com/watch?v=Sr4OulQWiXU
VS-2005-03,RB-2005,Cuartos,Frescolate vs Nice & Smooth,0,F-09,F-08,https://www.youtube.com/watch?v=feKUVyl_Vkc
VS-2005-04,RB-2005,Cuartos,Crooklyn vs Tek One,0,F-06,F-10,https://www.youtube.com/watch?v=3htdtrU3ZHk
VS-2005-05,RB-2005,Semifinal,Ehler Danloss vs El Niño,1,F-04,F-01,https://www.youtube.com/watch?v=iaMLS2KCcfY
VS-2005-06,RB-2005,Semifinal,Frescolate vs Tek One,1,F-09,F-06,https://www.youtube.com/watch?v=Q1Z2y9NWgj4
VS-2005-07,RB-2005,Final,El Niño vs Frescolate,0,F-09,F-04,https://www.youtube.com/watch?v=oWqaIlhwgSY
VS-2006-01,RB-2006,Octavos,Candy Man vs Deeflow,0,F-17,F-19,https://www.youtube.com/watch?v=UW_8TRvijoo
VS-2006-02,RB-2006,Octavos,Frescolate vs Piddy Pa,0,F-14,F-09,https://www.youtube.com/watch?v=eALze1S60HU
VS-2006-03,RB-2006,Octavos,El Chino vs MC R Loco,0,F-20,F-18,https://www.youtube.com/watch?v=x2wvebgoAD8
VS-2006-04,RB-2006,Octavos,Junior vs Rayden,1,F-11,F-16,https://www.youtube.com/watch?v=7oM5CM9QbOQ
VS-2006-05,RB-2006,Octavos,Raper One vs T-Killa,0,F-21,F-13,https://www.youtube.com/watch?v=PRQFJ69yypQ
VS-2006-06,RB-2006,Octavos,Matista vs Sammy Cultura,0,F-12,F-22,https://www.youtube.com/watch?v=1sNqXBNavoE
VS-2006-07,RB-2006,Octavos,Adversario vs Insano,0,F-15,F-24,https://www.youtube.com/watch?v=zOmhtM99Dqw
VS-2006-08,RB-2006,Octavos,Biancucci vs Tek One,0,F-06,F-23,https://www.youtube.com/watch?v=AhcbDripipU
VS-2006-09,RB-2006,Cuartos,Candy Man vs Piddy Pa,0,F-17,F-14,https://www.youtube.com/watch?v=8iDui2kcplE
VS-2006-10,RB-2006,Cuartos,MC R Loco vs Rayden,0,F-11,F-20,https://www.youtube.com/watch?v=1xd3sspt6Mw
VS-2006-11,RB-2006,Cuartos,Raper One vs Sammy Cultura,0,F-12,F-21,https://www.youtube.com/watch?v=LhMxyFqKjyQ
VS-2006-12,RB-2006,Cuartos,Adversario vs Tek One,1,F-06,F-15,https://www.youtube.com/watch?v=p-x4PuP-mrk
VS-2006-13,RB-2006,Semifinal,Candy Man vs Rayden,0,F-11,F-17,https://www.youtube.com/watch?v=tAM9RLYVbVw
VS-2006-14,RB-2006,Semifinal,Sammy Cultura vs Tek One,0,F-06,F-12,https://www.youtube.com/watch?v=AFezSyuaDsc
VS-2006-15,RB-2006,Final,Rayden vs Tek One,0,F-11,F-06,https://www.youtube.com/watch?v=z6I_MHLdRTo
VS-2007-01,RB-2007,Octavos,Kim vs Nitro,1,F-38,F-26,https://www.youtube.com/watch?v=QDQAx37jcgY
VS-2007-02,RB-2007,Octavos,Junior vs Rayden,0,F-16,F-11,https://www.youtube.com/watch?v=-6x0JXP-gqg
VS-2007-03,RB-2007,Octavos,Eptos vs Jayco,0,F-28,F-27,https://www.youtube.com/watch?v=z4aNhnF8G3Y
VS-2007-04,RB-2007,Octavos,D Negro vs Franz,0,F-32,F-34,https://www.youtube.com/watch?v=QQMPdYMcr0I
VS-2007-05,RB-2007,Octavos,El B vs Esnou,0,F-35,F-30,
VS-2007-06,RB-2007,Octavos,Link One vs Risco,0,F-29,F-33,https://www.youtube.com/watch?v=0LLYLYf-WdI
VS-2007-07,RB-2007,Octavos,Cebos vs Noult,0,F-25,F-31,https://www.youtube.com/watch?v=jsEukt7syFo
VS-2007-08,RB-2007,Octavos,Alvin vs Jannibal,0,F-37,F-36,https://www.youtube.com/watch?v=K6-CVKhn07U
VS-2007-09,RB-2007,Cuartos,Kim vs Junior,0,F-38,F-16,https://www.youtube.com/watch?v=1Epp1J6kjoY
VS-2007-10,RB-2007,Cuartos,Franz vs Jayco,0,F-28,F-32,https://www.youtube.com/watch?v=wfx_zn5JP8M
VS-2007-11,RB-2007,Cuartos,Esnou vs Link One,0,F-29,F-35,https://www.youtube.com/watch?v=b4-XChckSOg
VS-2007-12,RB-2007,Cuartos,Jannibal vs Noult,1,F-25,F-37,https://www.youtube.com/watch?v=oC1NDqX_ewY
VS-2007-13,RB-2007,Semifinal,Jayco vs Kim,1,F-28,F-38,https://www.youtube.com/watch?v=LHwXDO77yk8
VS-2007-14,RB-2007,Semifinal,Link One vs Noult,1,F-29,F-25,https://www.youtube.com/watch?v=vbEk4SgX7as
VS-2007-15,RB-2007,Final,Jayco vs Link One,1,F-29,F-28,https://www.youtube.com/watch?v=1rpEPLzLqSI
VS-2008-01,RB-2008,Octavos,Codigo vs Obie,0,F-40,F-47,https://www.youtube.com/watch?v=ssiCWHvlRyg
VS-2008-02,RB-2008,Octavos,Hadrian vs Pope,0,F-41,F-42,https://www.youtube.com/watch?v=9ySedCcD4IE
VS-2008-03,RB-2008,Octavos,Alvin vs Basek,0,F-51,F-36,https://www.youtube.com/watch?v=9xASO_fX_ao
VS-2008-04,RB-2008,Octavos,3 Segundos vs Bandi2,0,F-43,F-49,
VS-2008-05,RB-2008,Octavos,Link One vs Mcklopedia,0,F-46,F-29,https://www.youtube.com/watch?v=BUsxguosQO4
VS-2008-06,RB-2008,Octavos,2N vs Piezas,0,F-39,F-50,
VS-2008-07,RB-2008,Octavos,El B vs Mr. Fer,0,F-44,F-30,
VS-2008-08,RB-2008,Octavos,Deeflow vs Mena,0,F-48,F-19,https://www.youtube.com/watch?v=rBxtwZ4pK1A
VS-2008-09,RB-2008,Cuartos,Codigo vs Hadrian,0,F-41,F-40,https://www.youtube.com/watch?v=FQuhy9p35XU
VS-2008-10,RB-2008,Cuartos,Bandi2 vs Basek,0,F-51,F-43,https://www.youtube.com/watch?v=J2uvWVJybZ0
VS-2008-11,RB-2008,Cuartos,Mcklopedia vs Piezas,1,F-46,F-39,https://www.youtube.com/watch?v=emD9kK6Sfac
VS-2008-12,RB-2008,Cuartos,Mena vs Mr. Fer,0,F-48,F-44,https://www.youtube.com/watch?v=kr83zLymV3I
VS-2008-13,RB-2008,Semifinal,Basek vs Hadrian,0,F-41,F-51,https://www.youtube.com/watch?v=QmImE2eywwY
VS-2008-14,RB-2008,Semifinal,Mcklopedia vs Mena,0,F-48,F-46,https://www.youtube.com/watch?v=QvMu651HvNk
