GOBIERNO;MES;YEAR;COSTO_CANASTA;INGRESO_FAMILIAR_MENSUAL;RESTRICCION_O_EXCEDENTE_EN_EL_CONSUMO;RESTRICCION_EXCENDENTE_PORCENTUAL
Roldos-Hurtado;Noviembre;1982;401,57;401,58;-0,02;0
Roldos-Hurtado;Julio;1983;358,84;301,57;57,28;0,1596
Leon Febres Cordero;Enero;1984;197,3;174,36;22,94;0,1163
Leon Febres Cordero;Marzo;1985;189,9;172,36;17,54;0,0924
Leon Febres Cordero;Enero;1986;203,58;186,99;16,59;0,0815
Leon Febres Cordero;Agosto;1986;183,53;170,32;13,21;0,072
Leon Febres Cordero;Julio;1987;195,4;170,63;24,77;0,1268
Leon Febres Cordero;Junio;1988;128,26;91,12;37,14;0,2896
Rodrigo Borja;Septiembre;1988;135,56;91,04;44,52;0,3284
Rodrigo Borja;Mayo;1989;196,65;109,18;87,47;0,4448
Rodrigo Borja;Noviembre;1989;188,37;104,89;83,48;0,4432
Rodrigo Borja;Octubre;1990;200,61;94,41;106,2;0,5294
Rodrigo Borja;Noviembre;1990;205,12;93,32;111,8;0,545
Rodrigo Borja;Diciembre;1990;209,62;92,93;116,69;0,5567
Rodrigo Borja;Enero;1991;206,8;100,78;106,01;0,5126
Rodrigo Borja;Febrero;1991;205,9;118,17;87,73;0,4261
Rodrigo Borja;Marzo;1991;205,74;92,96;112,78;0,5482
Rodrigo Borja;Abril;1991;207,09;90,91;116,18;0,561
Rodrigo Borja;Mayo;1991;200,89;84,7;116,19;0,5784
Rodrigo Borja;Junio;1991;205,77;84,12;121,65;0,5912
Rodrigo Borja;Julio;1991;210,88;84,17;126,72;0,6009
Rodrigo Borja;Agosto;1991;217,57;84,75;132,82;0,6105
Rodrigo Borja;Septiembre;1991;222,79;83,7;139,09;0,6243
Rodrigo Borja;Octubre;1991;222,29;91,05;131,24;0,5904
Rodrigo Borja;Noviembre;1991;221;88,43;132,57;0,5999
Rodrigo Borja;Diciembre;1991;214,9;82,24;132,66;0,6173
Rodrigo Borja;Enero;1992;216,95;90,65;126,29;0,5821
Rodrigo Borja;Febrero;1992;223,05;90,02;133,03;0,5964
Rodrigo Borja;Marzo;1992;230,67;90,25;140,42;0,6087
Rodrigo Borja;Abril;1992;235,29;87,46;147,83;0,6283
Rodrigo Borja;Mayo;1992;232,91;83,36;149,55;0,6421
Rodrigo Borja;Junio;1992;235,46;81,28;154,19;0,6548
Rodrigo Borja;Julio;1992;236,66;79,14;157,52;0,6656
Sixto Duran Ballen;Agosto;1992;223,95;73,52;150,43;0,6717
Sixto Duran Ballen;Junio;1993;292,22;129,24;162,98;0,5577
Sixto Duran Ballen;Julio;1993;294,14;145,93;148,21;0,5039
Sixto Duran Ballen;Agosto;1993;295,73;144,48;151,25;0,5114
Sixto Duran Ballen;Septiembre;1993;301,73;144,95;156,79;0,5196
Sixto Duran Ballen;Octubre;1993;309,87;147,64;162,23;0,5235
Sixto Duran Ballen;Noviembre;1993;310;145,44;164,57;0,5309
Sixto Duran Ballen;Diciembre;1993;306,71;142,78;163,93;0,5345
Sixto Duran Ballen;Enero;1994;315,97;162,89;153,08;0,4845
Sixto Duran Ballen;Febrero;1994;328,45;163,95;164,5;0,5008
Sixto Duran Ballen;Marzo;1994;330,87;159,88;170,99;0,5168
Sixto Duran Ballen;Abril;1994;333,13;156,93;176,2;0,5289
Sixto Duran Ballen;Mayo;1994;337,14;156,27;180,87;0,5365
Sixto Duran Ballen;Junio;1994;341,39;155,51;185,88;0,5445
Sixto Duran Ballen;Julio;1994;342,9;196,18;146,72;0,4279
Sixto Duran Ballen;Agosto;1994;341,44;192,52;148,92;0,4362
Sixto Duran Ballen;Septiembre;1994;343,64;190,67;152,96;0,4451
Sixto Duran Ballen;Octubre;1994;347,35;189,31;158,05;0,455
Sixto Duran Ballen;Noviembre;1994;350,48;187,3;163,18;0,4656
Sixto Duran Ballen;Diciembre;1994;361,73;187,66;174,07;0,4812
Sixto Duran Ballen;Enero;1995;365,63;227,16;138,47;0,3787
Sixto Duran Ballen;Febrero;1995;372,64;226,75;145,89;0,3915
Sixto Duran Ballen;Marzo;1995;371,09;226,75;144,34;0,389
Sixto Duran Ballen;Abril;1995;373,15;226,75;146,4;0,3923
Sixto Duran Ballen;Mayo;1995;376,02;226,75;149,28;0,397
Sixto Duran Ballen;Junio;1995;370,93;226,75;144,18;0,3887
Sixto Duran Ballen;Julio;1995;369,54;222,09;147,45;0,399
Sixto Duran Ballen;Agosto;1995;371,73;222,09;149,64;0,4026
Sixto Duran Ballen;Septiembre;1995;378,17;222,93;155,24;0,4105
Sixto Duran Ballen;Octubre;1995;380,39;222,93;157,46;0,4139
Sixto Duran Ballen;Noviembre;1995;369,53;222,93;146,6;0,3967
Sixto Duran Ballen;Diciembre;1995;361,22;222,93;138,3;0,3829
Sixto Duran Ballen;Enero;1996;370,63;249,88;120,75;0,3258
Sixto Duran Ballen;Febrero;1996;377,21;249,88;127,33;0,3376
Sixto Duran Ballen;Marzo;1996;378,04;249,88;128,16;0,339
Sixto Duran Ballen;Abril;1996;379,29;249,88;129,41;0,3412
Sixto Duran Ballen;Mayo;1996;376,99;249,88;127,11;0,3372
Sixto Duran Ballen;Junio;1996;382,64;249,88;132,76;0,347
Sixto Duran Ballen;Julio;1996;385,53;260,27;125,27;0,3249
Abdala Bucaram O.;Agosto;1996;381,91;260,27;121,65;0,3185
Abdala Bucaram O.;Septiembre;1996;387,97;260,27;127,7;0,3291
Abdala Bucaram O.;Octubre;1996;394,67;260,27;134,4;0,3405
Abdala Bucaram O.;Noviembre;1996;390,43;260,27;130,16;0,3334
Abdala Bucaram O.;Diciembre;1996;376,11;260,27;115,84;0,308
Abdala Bucaram O.;Enero;1997;387,36;254,58;132,78;0,3428
Abdala Bucaram O.;Febrero;1997;393,27;254,58;138,7;0,3527
Fabian Alarcon R.;Marzo;1997;394,9;254,58;140,32;0,3553
Fabian Alarcon R.;Abril;1997;398,63;254,58;144,05;0,3614
Fabian Alarcon R.;Mayo;1997;395,63;254,58;141,05;0,3565
Fabian Alarcon R.;Junio;1997;395,82;254,58;141,24;0,3568
Fabian Alarcon R.;Julio;1997;399,04;255,54;143,51;0,3596
Fabian Alarcon R.;Agosto;1997;399,54;255,54;144;0,3604
Fabian Alarcon R.;Septiembre;1997;402,27;255,54;146,73;0,3648
Fabian Alarcon R.;Octubre;1997;405,59;255,54;150,05;0,37
Fabian Alarcon R.;Noviembre;1997;404,54;255,54;149,01;0,3683
Fabian Alarcon R.;Diciembre;1997;399,71;255,54;144,17;0,3607
Fabian Alarcon R.;Enero;1998;401,89;249,63;152,26;0,3789
Fabian Alarcon R.;Febrero;1998;406,17;249,63;156,53;0,3854
Fabian Alarcon R.;Marzo;1998;404,99;249,63;155,36;0,3836
Fabian Alarcon R.;Abril;1998;397,17;249,63;147,54;0,3715
Fabian Alarcon R.;Mayo;1998;389,14;220,52;168,62;0,4333
Fabian Alarcon R.;Junio;1998;395,62;220,52;175,1;0,4426
Fabian Alarcon R.;Julio;1998;396,81;237,62;159,19;0,4012
Jamil Mahuad W.;Agosto;1998;394,08;237,62;156,46;0,397
Jamil Mahuad W.;Septiembre;1998;377,75;237,62;140,13;0,371
Jamil Mahuad W.;Octubre;1998;354,56;216,58;137,98;0,3892
