Year,Urban Area,Functional Class,Functional Class Code,Vehicle Miles Travelled
2016,Rural,Interstate,1,16094
2016,Rural,Other Fwys & Exp,2,2182
2016,Rural,Other Princ Arterial,4,10219
2016,Rural,Minor Arterial,6,9304
2016,Rural,Major Collector,7,10303
2016,Rural,Minor Collector,8,6993
2016,Rural,Local,9,13119
2016,Small Urban,Interstate,11,2557
2016,Small Urban,Other Fwys & Exp,12,533
2016,Small Urban,Other Princ Arterial,14,3659
2016,Small Urban,Minor Arterial,16,3600
2016,Small Urban,Collector/Major Collector,17,1860
2016,Small Urban,Minor Collector,18,165
2016,Small Urban,Local,19,2396
2016,Urbanized,Interstate,11,54117
2016,Urbanized,Other Fwys & Exp,12,45625
2016,Urbanized,Other Princ Arterial,14,49120
2016,Urbanized,Minor Arterial,16,44936
2016,Urbanized,Major Collector,17,18282
2016,Urbanized,Minor Collector,18,297
2016,Urbanized,Local,19,40518
2015,Rural,Interstate,1,15663
2015,Rural,Other Princ Arterial**,2,1476
2015,Rural,Other Princ Arterial**,4,10655
2015,Rural,Minor Arterial,6,9448
2015,Rural,Major Collector,7,10165
2015,Rural,Minor Collector,8,25154
2015,Rural,Local,9,12060
2015,Small Urban,Interstate,11,2536
2015,Small Urban,Other Fwys & Exp,12,526
2015,Small Urban,Other Princ Arterial,14,3574
2015,Small Urban,Minor Arterial,16,3716
2015,Small Urban,Collector/Major Collector,17,1865
2015,Small Urban,Minor Collector,18,155
2015,Small Urban,Local,19,2100
2015,Urbanized,Interstate,11,54052
2015,Urbanized,Other Fwys & Exp,12,45530
2015,Urbanized,Other Princ Arterial,14,48732
2015,Urbanized,Minor Arterial,16,44606
2015,Urbanized,Collector/Major Collector*,17,18470
2015,Urbanized,Minor Collector,18,281
2015,Urbanized,Local,19,37814
2014,Rural,Interstate,1,15860
2014,Rural,Interstate,1,15860
2014,Rural,Other Princ Arterial**,2,1487
2014,Rural,Other Princ Arterial**,2,1487
2014,Rural,Other Princ Arterial**,4,10706
2014,Rural,Other Princ Arterial**,4,10706
2014,Rural,Minor Arterial,6,9467
2014,Rural,Minor Arterial,6,9467
2014,Rural,Major Collector,7,10239
2014,Rural,Major Collector,7,10239
2014,Rural,Minor Collector,8,25373
2014,Rural,Minor Collector,8,25373
2014,Rural,Local,9,12249
2014,Rural,Local,9,12249
2014,Small Urban,Interstate,11,2533
2014,Small Urban,Interstate,11,2533
2014,Small Urban,Other Fwys & Exp,12,539
2014,Small Urban,Other Fwys & Exp,12,539
2014,Small Urban,Other Princ Arterial,14,3574
2014,Small Urban,Other Princ Arterial,14,3574
2014,Small Urban,Minor Arterial,16,3773
2014,Small Urban,Minor Arterial,16,3773
2014,Small Urban,Collector/Major Collector,17,1895
2014,Small Urban,Collector/Major Collector,17,1895
2014,Small Urban,Minor Collector,18,157
2014,Small Urban,Local,19,2119
2014,Small Urban,Local,19,2119
2014,Urbanized,Interstate,11,55621
2014,Urbanized,Interstate,11,55621
2014,Urbanized,Other Fwys & Exp,12,47370
2014,Urbanized,Other Fwys & Exp,12,47370
2014,Urbanized,Other Princ Arterial,14,48680
2014,Urbanized,Other Princ Arterial,14,48680
2014,Urbanized,Minor Arterial,16,45350
2014,Urbanized,Minor Arterial,16,45350
2014,Urbanized,Collector/Major Collector*,17,18824
2014,Urbanized,Collector/Major Collector*,17,18824
2014,Urbanized,Minor Collector,18,298
2014,Urbanized,Local,19,38028
2014,Urbanized,Local,19,38028
2013,Rural,Interstate,1,17340
2013,Rural,Interstate,1,17340
2013,Rural,Other Princ Arterial**,2,1705
2013,Rural,Other Princ Arterial**,2,1705
2013,Rural,Other Princ Arterial**,4,10729
2013,Rural,Other Princ Arterial**,4,10729
2013,Rural,Minor Arterial,6,10726
2013,Rural,Minor Arterial,6,10726
2013,Rural,Major Collector,7,10997
2013,Rural,Major Collector,7,10997
2013,Rural,Minor Collector,8,25425
2013,Rural,Minor Collector,8,25425
2013,Rural,Local,9,12333
2013,Rural,Local,9,12333
2013,Small Urban,Interstate,11,1828
2013,Small Urban,Interstate,11,1828
2013,Small Urban,Other Fwys & Exp,12,570
2013,Small Urban,Other Fwys & Exp,12,570
2013,Small Urban,Other Princ Arterial,14,3622
