"CODIGO_DATO_INDICADOR","DATO_INDICADOR","PERIODO","TIPO_PERIODO","ANIO","TIPO_GEO","DES_CIUDAD","DES_ADMZONAL","DES_PARROQUIA","DES_BARRIOSEC","DES_MANZANA","CATEGORIA1","SUBCATEGORIA1","CATEGORIA2","SUBCATEGORIA2","CATEGORIA3","SUBCATEGORIA3","CATEGORIA4","SUBCATEGORIA4","CATEGORIA5","SUBCATEGORIA5","VALOR","FECHA_CORTE"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","3","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","2","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","3","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Suicidio","","","","","","","","","2","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Suicidio","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Asesinato","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Ene","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Agresión sexual/violación","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Homicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","2","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","3","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","2","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","TUMBACO","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LOS CHILLOS","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA MARISCAL","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","2","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","Fuera DMQ","","","","Subtipo de evento","Levantamiento de cadáver","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","QUITUMBE","","","","Subtipo de evento","Suicidio","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","ELOY ALFARO","","","","Subtipo de evento","Suicidio","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","MANUELA SAENZ","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","EUGENIO ESPEJO","","","","Subtipo de evento","Suicidio","","","","","","","","","1","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","LA DELICIA","","","","Subtipo de evento","Suicidio","","","","","","","","","3","04-04-2019"
"COE-007","Delitos contra las personas en el DMQ","Feb","MENSUAL","2019","ADMINISTRACIÓN ZONAL","","CALDERON","","","","Subtipo de evento","Suicidio","","","","","","","","","0","04-04-2019"
