provincia;titulo;tipo_objeto;autor;fecha_periodo_obra;fecha_robo
Pichincha;NIÑO JESÚS;ESCULTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;VIRGEN DE LA LUZ;ESCULTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;MARIA AUXILIADORA;PINTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;SEÑOR DE LA BUENA ESPERANZA;PINTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;SAN MIGUEL ARCANGEL;PINTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;VIRGEN DEL CARMEN;PINTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;BAUTIZMO  DE JESÚS;PINTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;SEÑOR DE LA JUSTICIA;ESCULTURA;ANÓNIMO;N/D;12-dic-02
Pichincha;SAN PEDRO Y SAN PABLO;PINTURA;KINGMAN;1948;27-ago-03
Pichincha;LA MANO DE DIOS;PINTURA;KINGMAN;1946;27-ago-03
Pichincha;SAN MATEO;PINTURA;ANÓNIMO; SIGLO XIX;19-ene-06
Pichincha;SAN MARCOS;PINTURA;ANÓNIMO; SIGLO XIX;19-ene-06
Pichincha;SAN LUCAS;PINTURA;ANÓNIMO; SIGLO XIX;19-ene-06
Pichincha;SAN JUAN;PINTURA;ANÓNIMO; SIGLO XIX;19-ene-06
Pichincha;ANGEL DE LA MUERTE;PINTURA;ANÓNIMO; SIGLO XX;19-ene-06
Pichincha;SAGRADO CORAZÓN DE JESÚS;PINTURA;ANÓNIMO; SIGLO XX;19-ene-06
Pichincha;SAN JUAN EVANGELISTA;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-ago-92
Pichincha;SAN ANTONIO;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-ago-92
Pichincha;SAN PEDRO;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-ago-92
Pichincha;SAN ISIDRO LABRADOR;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-ago-92
Pichincha;SAN MIGUEL ARCANGEL;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-ago-92
Pichincha;VIRGEN DE QUITO INMACULADA;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-ago-92
Pichincha;CRUCIFIJO;ESCULTURA;ANÓNIMO; SIGLO XIX;01-ago-92
Pichincha;SAN FRANCISCO DE ASIS;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-ago-92
Pichincha;SAN ANTONIO DE PADUA;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-ago-92
Pichincha;SAN JOSE Y EL NIÑO;PINTURA;ANÓNIMO;SIGLO XVIII;09-ene-96
Pichincha;LA VIRGEN MARIA Y SAN ANTONIO;PINTURA;ANÓNIMO;SIGLO XVIII;09-ene-96
Pichincha;CALVARIO;PINTURA;ANÓNIMO;SIGLO XVIII;09-ene-96
Pichincha;SAN ANTONIO DE PADUA;PINTURA;ANÓNIMO;SIGLO XVIII;09-ene-96
Pichincha;SEÑOR DE LA ALMARGURA;PINTURA;ANÓNIMO;SIGLO XVIII;04-sep-92
Pichincha;EL SUEÑO DE SAN JOSE;PINTURA;ANÓNIMO; SIGLO XIX;01-nov-98
Pichincha;VIRGEN DEL PILAR DE ZARAGOZA ;ESCULTURA;ANÓNIMO; SIGLO XVII;07-may-94
Pichincha; ARCANGEL SAN GABRIEL ;PINTURA;ANÓNIMO;SIGLO XVIII;30-sep-00
