MES;DIA;PROVINCIA;CANTÓN;HORA;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
ENERO;DOMINGO;SANTA ELENA;LA LIBERTAD;00:00 A 00:59;URBANA;0;1;1;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;AZUAY;CUENCA;00:00 A 00:59;URBANA;0;1;1;PÉRDIDA DE PISTA;EXCESO VELOCIDAD
ENERO;DOMINGO;GUAYAS;BALZAR;00:00 A 00:59;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;PICHINCHA;QUITO;00:00 A 00:59;URBANA;0;0;0;CHOQUES;FACTORES CLIMÁTICOS
ENERO;DOMINGO;TUNGURAHUA;AMBATO;00:00 A 00:59;URBANA;1;0;1;ATROPELLOS;EXCESO VELOCIDAD
ENERO;DOMINGO;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;00:00 A 00:59;URBANA;0;2;2;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;DOMINGO;TUNGURAHUA;AMBATO;00:00 A 00:59;URBANA;0;3;3;ATROPELLOS;EXCESO VELOCIDAD
ENERO;DOMINGO;PICHINCHA;QUITO;00:00 A 00:59;RURAL;0;6;6;ATROPELLOS;EMBRIAGUEZ O DROGA
ENERO;DOMINGO;TUNGURAHUA;AMBATO;01:00 A 01:59;RURAL;1;0;1;ATROPELLOS;EXCESO VELOCIDAD
ENERO;DOMINGO;MANABÍ;JUNIN;01:00 A 01:59;RURAL;1;0;1;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;LOS RÍOS;QUEVEDO;02:00 A 02:59;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;GUAYAQUIL;03:00 A 03:59;URBANA;0;1;1;CHOQUES;EXCESO VELOCIDAD
ENERO;DOMINGO;MANABÍ;PORTOVIEJO;03:00 A 03:59;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
ENERO;DOMINGO;PICHINCHA;QUITO;03:00 A 03:59;RURAL;0;0;0;ESTRELLAMIENTOS;EXCESO VELOCIDAD
ENERO;DOMINGO;PICHINCHA;QUITO;04:00 A 04:59;URBANA;0;3;3;CHOQUES;EMBRIAGUEZ O DROGA
ENERO;DOMINGO;MANABÍ;MANTA;04:00 A 04:59;URBANA;0;1;1;PÉRDIDA DE PISTA;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;NARANJAL;04:00 A 04:59;URBANA;0;1;1;ATROPELLOS;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;PICHINCHA;MEJIA;05:00 A 05:59;RURAL;0;1;1;CHOQUES;IMPERICIA E IMPRUDENCIA DEL CONDUCTOR
ENERO;DOMINGO;GUAYAS;NARANJAL;05:00 A 05:59;RURAL;0;2;2;CAÍDA DE PASAJEROS;IMPRUDENCIA  DEL PEATÓN
ENERO;DOMINGO;CHIMBORAZO;RIOBAMBA;05:00 A 05:59;URBANA;0;0;0;CHOQUES;NO RESPETA LAS SEÑALES DE TRÁNSITO
